date,cgdq,agdq2011,jrdq,sgdq2011,agdq2012,sgdq2012,spook,agdq2013,sgdq2013,agdq2014,sgdq2014,agdq2015,sgdq2015,agdq2016,sgdq2016,agdq2017,sgdq2017,hrdq,agdq2018,sgdq2018,GDQX2018,agdq2019,sgdq2019,GDQX2019
2010-01-01 00:00,100,5600,100,600,25600,1000,1590,16643,38066,221379,69300,700,5100,1500,37500,5501,13000,2500,17500,1500,500,29937,8000,0
2010-01-01 00:05,100,13637,100,600,25600,1000,1590,31743,38066,221379,69300,700,5100,2000,37500,5501,17000,2500,17500,1500,1000,29937,8500,
2010-01-01 00:10,100,27637,237,600,30600,1000,1590,31743,38066,221379,69300,2200,5100,2000,37500,5501,17000,2500,17500,1500,1500,29937,9500,
2010-01-01 00:15,100,45137,237,600,30600,1000,1590,33543,38066,221379,69300,2200,5100,2000,39000,15501,17000,3000,18500,1500,2000,29937,9500,
2010-01-01 00:20,100,81699,1237,600,35600,19400,7590,37543,38066,222379,69300,2200,15100,2000,39000,16612,17000,5000,22000,1500,2000,30937,12000,
2010-01-01 00:25,100,93699,1237,1200,35600,19700,9590,37543,38066,227379,69300,2200,15100,2000,42000,18612,27000,5000,22000,1500,2000,37437,13000,
2010-01-01 00:30,100,114211,3237,1200,135600,19700,9590,37543,38066,228379,74300,2200,15100,2000,42000,19112,27000,5000,38700,1500,2000,52437,13000,
2010-01-01 00:35,100,122712,5237,1200,135600,19700,9590,38043,38066,230503,74300,2200,17600,2000,42000,19112,27000,7000,90200,1500,2000,102937,18000,
2010-01-01 00:40,100,139212,5237,1300,231600,19700,9590,38043,38066,230503,79300,2200,17600,2000,42000,19112,27000,9000,128866,1500,2000,161937,20584,
2010-01-01 00:45,100,150212,10937,1300,245100,19700,9590,38043,38066,230503,79300,4200,17600,3000,47000,19112,27000,10000,162366,1500,2000,206937,30584,
2010-01-01 00:50,100,152912,12437,1300,247600,19700,19590,38059,38566,230503,79300,10200,17600,3000,48500,19112,33000,10000,205484,1500,2000,247937,30584,
2010-01-01 00:55,5100,154412,15937,1300,303400,19700,19590,38059,38566,244102,79300,11800,17600,3000,48500,19112,83000,11000,219484,1500,3900,346437,31584,
2010-01-01 01:00,5100,160412,23937,1300,413600,20200,19590,38059,38566,245602,79300,11800,22600,3000,49000,19112,93500,11000,284290,1500,3900,608637,55584,
2010-01-01 01:05,5100,161912,24937,1300,414600,20200,20590,38159,38566,245602,79300,12300,25600,3000,59000,20112,100500,11000,358867,1500,11900,712206,123585,
2010-01-01 01:10,10600,162912,39437,1300,415600,20200,20590,40659,38566,250102,79300,12300,29400,3000,59000,25091,110500,11000,554367,1500,25400,859884,256285,
2010-01-01 01:15,10600,163635,41436,1300,416100,20200,20590,40659,38566,253602,79300,19300,37900,3000,70000,27091,122000,11000,682572,1500,77900,954384,312274,
2010-01-01 01:20,10600,164135,46436,1300,422100,22200,20590,40659,38566,253602,79300,21300,91000,3500,70000,44591,122000,11000,833238,1500,110400,1063039,447774,
2010-01-01 01:25,10600,179135,56436,1300,434100,22200,20590,41559,39566,257102,89300,26800,105201,3500,70000,47591,123000,11000,936576,2000,122900,1303539,516051,
2010-01-01 01:30,12100,179335,61536,1300,440020,22200,20590,41559,39566,259102,89300,26800,115703,3500,70000,53232,143000,11000,952976,2000,131400,1361539,639851,
2010-01-01 01:35,12100,181352,78036,1300,449220,72200,20590,44059,39566,259602,89300,26800,143703,6000,70000,85532,215000,11000,1020720,2000,133900,2430139,724851,
2010-01-01 01:40,12600,185352,81036,1300,452220,72200,30590,44059,39566,297001,95900,26800,154803,10000,80500,329082,315500,11000,1170486,18016,143727,2574139,838851,
2010-01-01 01:45,12600,187102,84936,1300,460820,72200,30590,46159,39566,304501,106900,31800,155303,10000,80500,379182,424000,11000,1247541,6725816,152727,2661158,1150851,
2010-01-01 01:50,12600,205102,85936,1300,663820,72200,35590,48159,39566,308501,109900,132900,155762,11500,81500,422982,510500,11000,1329541,6727816,168227,2714158,1375307,
2010-01-01 01:55,12600,207602,88500,1300,663820,72200,40590,50159,39566,314001,115400,132900,165762,11500,81500,528482,657000,11000,1379039,6730816,178504,2821259,1448207,
2010-01-01 02:00,12600,212802,90600,1300,665820,85700,40590,50459,40000,336560,118900,132900,173762,11500,81500,649999,1858000,11000,1409539,6757616,187504,2872759,1492707,
2010-01-01 02:05,12600,214302,100600,1300,665820,88700,43590,50459,40000,494660,129900,135900,173762,11500,83500,711999,2057400,12500,1434139,6798616,189004,2901759,1548004,
2010-01-01 02:10,12600,218802,104615,1300,667320,103200,43590,55459,90200,549854,152900,138100,178762,12000,89600,760394,2235100,12500,1475139,6817616,254004,2945059,1629504,
2010-01-01 02:15,12600,220402,106615,1300,669320,119700,43590,168660,90200,616982,159900,138600,179262,14100,91100,887894,2458266,12500,1615284,6868116,269004,2999059,2675004,
2010-01-01 02:20,12600,221402,106615,1300,674820,129700,47590,442397,90200,717782,176900,138600,179262,19100,97600,919894,3601066,12500,1745895,6900116,284004,3026559,2745104,
2010-01-01 02:25,12600,226402,113115,1300,676986,138700,47590,452497,90400,758782,1260500,150600,228762,23100,135077,952994,3722866,12500,1899032,6957716,362504,3081559,2848104,
2010-01-01 02:30,14600,230402,115115,1300,691986,155700,47590,520197,90400,813984,1278000,156600,844287,37100,208046,992494,3792066,12500,1974489,7080216,369004,3100559,2895128,
2010-01-01 02:35,14600,236402,115615,1300,712266,162300,47590,581047,90400,869084,1376100,172100,894087,66100,259546,1126494,3891467,12500,1997489,7218316,378004,3205559,2956128,
2010-01-01 02:40,14600,236902,117626,1300,715266,163400,47590,592852,90400,916281,1492502,174100,1026670,126600,341601,1188229,3959568,13500,2057558,7324816,382504,3361360,2974128,
2010-01-01 02:45,15100,238902,120126,1300,749803,169900,47590,628952,90400,989715,1572522,175100,1150169,164600,396101,1230129,4002568,13500,2073558,7368016,386004,3537011,3027628,
2010-01-01 02:50,15100,238902,121626,3300,762803,175400,47590,648952,98400,1026015,1644042,176384,1333869,225100,421601,1344230,4073892,13500,2165059,7428017,404004,3582011,3040628,
2010-01-01 02:55,15100,239402,136126,3300,766303,184400,47590,674984,98500,1051398,1693642,177451,1445276,420400,570440,1387385,4218892,13500,2326873,7481017,434004,3636511,3054628,
